636016288>_<1548979205,20939,72,583509,72,-125.37077,48.219,1548985184,-125.37351,48.2166,1548985246
636016288>_<1548979205,20939,73,583509,73,-125.37351,48.2166,1548985246,-125.37667,48.21381,1548985316
636016288>_<1548979205,20939,74,583509,74,-125.37667,48.21381,1548985316,-125.37988,48.21105,1548985385
636016288>_<1548979205,20939,75,583509,75,-125.37988,48.21105,1548985385,-125.38751,48.20483,1548985546
636016288>_<1548979205,20939,76,583509,76,-125.38751,48.20483,1548985546,-125.39671,48.19757,1548985735
636016288>_<1548979205,20939,77,583509,77,-125.39671,48.19757,1548985735,-125.40016,48.19485,1548985806
636016288>_<1548979205,20939,78,583509,78,-125.40016,48.19485,1548985806,-125.40356,48.19219,1548985876
636016288>_<1548979205,20939,79,583509,79,-125.40356,48.19219,1548985876,-125.40693,48.18951,1548985946
636016288>_<1548979205,20939,80,583509,80,-125.40693,48.18951,1548985946,-125.41953,48.17979,1548986206
636016288>_<1548979205,20939,81,583509,81,-125.41953,48.17979,1548986206,-125.42532,48.17532,1548986326
636016288>_<1548979205,20939,82,583509,82,-125.42532,48.17532,1548986326,-125.42873,48.17272,1548986395
636016288>_<1548979205,20939,83,583509,83,-125.42873,48.17272,1548986395,-125.42922,48.17235,1548986406
636016288>_<1548979205,20939,84,583509,84,-125.42922,48.17235,1548986406,-125.43316,48.16938,1548986486
636016288>_<1548979205,20939,85,583509,85,-125.43316,48.16938,1548986486,-125.43658,48.16677,1548986556
636016288>_<1548979205,20939,86,583509,86,-125.43658,48.16677,1548986556,-125.43995,48.16419,1548986624
636016288>_<1548979205,20939,87,583509,87,-125.43995,48.16419,1548986624,-125.44291,48.16197,1548986685
636016288>_<1548979205,20939,88,583509,88,-125.44291,48.16197,1548986685,-125.44632,48.15939,1548986755
636016288>_<1548979205,20939,89,583509,89,-125.44632,48.15939,1548986755,-125.44969,48.15679,1548986825
636016288>_<1548979205,20939,90,583509,90,-125.44969,48.15679,1548986825,-125.45357,48.15376,1548986905
636016288>_<1548979205,20939,91,583509,91,-125.45357,48.15376,1548986905,-125.45798,48.15043,1548986995
636016288>_<1548979205,20939,92,583509,92,-125.45798,48.15043,1548986995,-125.4613,48.14785,1548987065
636016288>_<1548979205,20939,93,583509,93,-125.4613,48.14785,1548987065,-125.46516,48.14484,1548987145
636016288>_<1548979205,20939,94,583509,94,-125.46516,48.14484,1548987145,-125.4685,48.14221,1548987214
636016288>_<1548979205,20939,95,583509,95,-125.4685,48.14221,1548987214,-125.47191,48.13952,1548987285
